# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      1      0     1.92522539495838E-10   1.92522539495838E-10
    2      1      1     2.05698476927993E-12   4.11396953855987E-12
    3      2      1     3.61098365849641E-11   1.08329509754892E-10
    4      2      2     5.90377176945655E-05   2.36150870778262E-04
    6      3      3     6.50425063246541E-15   3.90255037947924E-14
    7      3      4     6.63550831684036E-11   4.64485582178825E-10
    9      4      5     2.05223244571938E-07   1.84700920114744E-06
   10      5      5     2.75574544642572E-08   2.75574544642572E-07
   11      5      6     2.07903586992861E-10   2.28693945692147E-09
   12      6      6     1.69564040205327E-08   2.03476848246393E-07
   13      6      7     1.86430830103095E-09   2.42360079134023E-08
   14      7      7     3.95425754133594E-09   5.53596055787032E-08
   15      7      8     2.72220223898477E-07   4.08330335847715E-06
   16      8      8     7.83855809478702E-09   1.25416929516592E-07
   17      8      9     9.14693739871342E-11   1.55497935778128E-09
   18      8     10     2.04717675747087E-09   3.68491816344756E-08
   19      9     10     1.69240865027868E-08   3.21557643552949E-07
   20     10     10     3.47082243957139E-08   6.94164487914278E-07
   21     10     11     5.81593856956071E-09   1.22134709960775E-07
   22     10     12     4.00651622585638E-08   8.81433569688404E-07
   23     11     12     2.72040072936507E-11   6.25692167753965E-10
   24     12     12     1.38279371050036E-10   3.31870490520086E-09
   25     12     13     4.64708930686788E-10   1.16177232671697E-08
   26     12     14     5.22290906723108E-11   1.35795635748008E-09
   27     13     14     2.72176831254582E-11   7.34877444387370E-10
   28     14     14     1.22514343182774E-11   3.43040160911766E-10
   29     14     15     4.95048137874794E-12   1.43563959983690E-10
   30     14     16     9.55804821428691E-12   2.86741446428607E-10
   31     15     16     7.39272416851449E-12   2.29174449223949E-10
   32     16     16     3.06554701070493E-11   9.80975043425577E-10
   33     16     17     4.54832735020506E-11   1.50094802556767E-09
   34     16     18     1.34145858748735E-10   4.56095919745699E-09
   35     17     18     1.09963822979023E-10   3.84873380426579E-09
   36     16     20     5.46346821945409E-11   1.96684855900347E-09
   36     18     18     5.17767538415426E-20   1.86396313829553E-18
   37     17     20     1.23572475671527E-10   4.57218159984648E-09
   38     18     20     7.89414357848946E-11   2.99977455982599E-09
   39     19     20     3.72083183845018E-11   1.45112441699557E-09
   40     18     22     5.19040554699906E-11   2.07616221879963E-09
   41     19     22     6.00955458644360E-11   2.46391738044188E-09
   42     20     22     1.61057449280900E-09   6.76441286979778E-08
   43     20     23     7.17809968024124E-10   3.08658286250373E-08
   44     20     24     8.39917186704397E-10   3.69563562149935E-08
   45     21     24     1.52664035272180E-09   6.86988158724811E-08
   46     20     26     1.38455775597675E-09   6.36896567749306E-08
   46     22     24     7.73818339325833E-20   3.55956436089883E-18
   47     22     25     7.64514474150099E-10   3.59321802850547E-08
   48     22     26     7.50078197175931E-10   3.60037534644447E-08
   49     22     27     8.17670621670610E-11   4.00658604618599E-09
   50     22     28     2.10987506277599E-10   1.05493753138800E-08
   51     23     28     2.27915707860803E-10   1.16237011009010E-08
   52     24     28     4.13241982806152E-10   2.14885831059199E-08
   53     24     29     1.52123544941569E-10   8.06254788190316E-09
   54     24     30     1.88768546145180E-10   1.01935014918397E-08
   55     25     30     4.55853760466635E-11   2.50719568256649E-09
   56     26     30     3.38938270080402E-11   1.89805431245025E-09
   57     26     31     4.22776828972901E-11   2.40982792514553E-09
   58     26     32     4.01296295938793E-11   2.32751851644500E-09
   59     27     32     4.42737366593031E-11   2.61215046289889E-09
   60     28     32     4.69045921557060E-11   2.81427552934236E-09
   61     28     33     4.08291544009305E-11   2.49057841845676E-09
   62     28     34     1.20468924426761E-10   7.46907331445920E-09
   63     29     34     1.09547575286413E-10   6.90149724304401E-09
   64     28     36     7.60735800690764E-11   4.86870912442089E-09
   65     29     36     1.47788503921307E-10   9.60625275488498E-09
   66     30     36     1.47289979672607E-10   9.72113865839204E-09
   67     30     37     2.39366120254972E-10   1.60375300570831E-08
   68     30     38     2.26909500671003E-10   1.54298460456282E-08
   69     31     38     3.59547211992358E-10   2.48087576274727E-08
   70     30     40     1.40036494420972E-10   9.80255460946803E-09
   70     32     38     9.67111413927921E-16   6.76977989749545E-14
   71     31     40     2.16892169040433E-10   1.53993440018707E-08
   72     32     40     2.55681613733246E-10   1.84090761887937E-08
   73     32     41     2.77736226997584E-10   2.02747445708237E-08
   74     32     42     2.80003588342011E-10   2.07202655373088E-08
   75     33     42     5.11411896532673E-10   3.83558922399504E-08
   76     32     44     6.36146833019609E-10   4.83471593094902E-08
   76     34     42     3.74219509973220E-15   2.84406827579647E-13
   77     34     43     1.21301350974238E-09   9.34020402501635E-08
   78     34     44     4.29291541762714E-09   3.34847402574917E-07
   79     35     44     6.51323506795349E-09   5.14545570368326E-07
   80     34     46     2.57576746066663E-09   2.06061396853331E-07
   81     35     46     2.43320366622432E-09   1.97089496964170E-07
   82     34     48     1.14952748500098E-09   9.42612537700808E-08
   82     36     46     1.64622536311106E-13   1.34990479775107E-11
   83     36     47     2.69241829965338E-09   2.23470718871231E-07
   84     36     48     2.18461990598885E-08   1.83508072103063E-06
   85     37     48     3.38251043335322E-08   2.87513386835024E-06
   86     36     50     8.81286457118377E-08   7.57906353121804E-06
   86     38     48     1.24700495719458E-18   1.07242426318734E-16
   87     37     50     4.14001708921369E-08   3.60181486761591E-06
   87     38     49     5.99615895245427E-10   5.21665828863522E-08
   88     38     50     4.36082521978068E-08   3.83752619340700E-06
   89     39     50     1.75566459609699E-08   1.56254149052632E-06
   90     40     50     2.65488965511287E-08   2.38940068960158E-06
