# 1:A 2:Y(A) 3:X(A)
    1     1.19368231953939E-09     1.19368231953939E-09
    2     9.12759977628839E-15     1.82551995525768E-14
    3     2.06015873184312E-11     6.18047619552935E-11
    4     3.40523237241931E-05     1.36209294896772E-04
    5     0.00000000000000E+00     0.00000000000000E+00
    6     2.55283141346593E-14     1.53169884807956E-13
    7     1.16203213098066E-11     8.13422491686465E-11
    8     0.00000000000000E+00     0.00000000000000E+00
    9     6.81469219311076E-12     6.13322297379968E-11
   10     1.09865094156461E-16     1.09865094156461E-15
   11     6.73839322264565E-12     7.41223254491021E-11
   12     2.15460951114701E-09     2.58553141337641E-08
   13     1.48172329956387E-12     1.92624028943304E-11
   14     5.73737821012759E-08     8.03232949417862E-07
   15     2.12336387490726E-06     3.18504581236088E-05
   16     4.04062500727466E-08     6.46500001163946E-07
   17     4.87754124033871E-10     8.29182010857581E-09
   18     2.22829226995246E-06     4.01092608591443E-05
   19     2.85107713945594E-06     5.41704656496628E-05
   20     2.98241308432176E-08     5.96482616864353E-07
   21     2.80951708232984E-07     5.89998587289267E-06
   22     8.39175120097470E-07     1.84618526421443E-05
   23     1.78863968670941E-07     4.11387127943165E-06
   24     8.77898769081405E-08     2.10695704579537E-06
   25     9.58930767286086E-08     2.39732691821522E-06
   26     1.68417351822119E-07     4.37885114737509E-06
   27     3.24240968504851E-08     8.75450614963097E-07
   28     4.12123932356974E-08     1.15394701059953E-06
   29     3.98283489881259E-08     1.15502212065565E-06
   30     1.64440862272931E-07     4.93322586818792E-06
   31     2.41243197785346E-08     7.47853913134572E-07
   32     9.81664446087207E-08     3.14132622747906E-06
   33     2.86796566562505E-07     9.46428669656267E-06
   34     2.01978444931045E-07     6.86726712765552E-06
   35     7.14243943043918E-08     2.49985380065371E-06
   36     1.81315144520503E-07     6.52734520273811E-06
   37     1.97419961871318E-07     7.30453858923876E-06
   38     1.76640869383572E-07     6.71235303657572E-06
   39     2.83609500318106E-08     1.10607705124061E-06
   40     6.46089524863055E-08     2.58435809945222E-06
   41     1.29835504177971E-07     5.32325567129681E-06
   42     8.83087428411674E-07     3.70896719932903E-05
   43     2.32985401610670E-07     1.00183722692588E-05
   44     5.21490378283972E-07     2.29455766444948E-05
   45     4.27286627594127E-07     1.92278982417357E-05
   46     2.50794133599575E-07     1.15365301455804E-05
   47     1.43578322789489E-07     6.74818117110600E-06
   48     2.11687788187453E-07     1.01610138329977E-05
   49     5.22657560712811E-08     2.56102204749277E-06
   50     1.17369961531379E-07     5.86849807656893E-06
   51     8.20405794225577E-08     4.18406955055045E-06
   52     1.73686016776013E-07     9.03167287235267E-06
   53     1.27715793112108E-08     6.76893703494173E-07
   54     7.99251278480343E-08     4.31595690379385E-06
   55     3.64331850309789E-09     2.00382517670384E-07
   56     3.28343847147366E-08     1.83872554402525E-06
   57     1.41596582970463E-08     8.07100522931641E-07
   58     2.32634257659756E-08     1.34927869442659E-06
   59     2.35499404994480E-08     1.38944648946743E-06
   60     2.53167405424120E-08     1.51900443254472E-06
   61     2.41745642656971E-08     1.47464842020753E-06
   62     8.10120173635090E-08     5.02274507653756E-06
   63     9.37982541856936E-08     5.90929001369870E-06
   64     4.35027687133023E-08     2.78417719765134E-06
   65     6.75835847923009E-08     4.39293301149956E-06
   66     3.39958679702858E-08     2.24372728603887E-06
   67     3.82279997072402E-08     2.56127598038509E-06
   68     2.57702830342022E-08     1.75237924632575E-06
   69     5.65964340302048E-08     3.90515394808413E-06
   70     2.95221551048349E-08     2.06655085733844E-06
   71     4.80328266043726E-08     3.41033068891046E-06
   72     5.33492804937740E-08     3.84114819555173E-06
   73     5.09729972101121E-08     3.72102879633818E-06
   74     8.99669141592740E-08     6.65755164778627E-06
   75     2.82143605190200E-07     2.11607703892650E-05
   76     3.61154959377404E-07     2.74477769126827E-05
   77     2.73929759542294E-06     2.10925914847566E-04
   78     2.52679506535639E-05     1.97090015097799E-03
   79     7.85819130063588E-05     6.20797112750235E-03
   80     4.00485915566457E-05     3.20388732453165E-03
   81     1.85732725526422E-05     1.50443507676402E-03
   82     1.07150146631622E-05     8.78631202379300E-04
   83     9.68456625215513E-06     8.03818998928875E-04
   84     2.39629253197325E-05     2.01288572685753E-03
   85     9.43367787810376E-06     8.01862619638820E-04
   86     2.29725315641624E-05     1.97563771451797E-03
   87     5.09320841497540E-06     4.43109132102859E-04
   88     9.16061836913678E-06     8.06134416484037E-04
   89     4.16911205766112E-06     3.71050973131840E-04
   90     9.28507499191413E-06     8.35656749272272E-04
   91     3.88096950460468E-06     3.53168224919026E-04
   92     1.03632750232347E-05     9.53421302137594E-04
   93     6.12862339265021E-06     5.69961975516469E-04
   94     7.23409905900738E-06     6.80005311546693E-04
   95     1.21934060769368E-05     1.15837357730900E-03
   96     1.05299648921636E-05     1.01087662964770E-03
   97     9.35978176227982E-06     9.07898830941142E-04
   98     5.84205081007634E-06     5.72520979387481E-04
   99     5.80938207065798E-06     5.75128824995140E-04
  100     2.94938792484072E-06     2.94938792484072E-04
  101     2.64983834781493E-06     2.67633673129308E-04
  102     3.14930767820545E-06     3.21229383176956E-04
  103     6.00143632501186E-06     6.18147941476221E-04
  104     5.17704816633649E-06     5.38413009298995E-04
  105     8.32874803751052E-06     8.74518543938605E-04
  106     7.05663818163907E-06     7.48003647253741E-04
  107     9.18432841137769E-06     9.82723140017413E-04
  108     8.83420205647175E-06     9.54093822098949E-04
  109     1.55105065004951E-05     1.69064520855397E-03
  110     1.75206006191546E-05     1.92726606810701E-03
  111     2.31011009178120E-05     2.56422220187713E-03
