#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 5.0359487050509644E-01    6.9999999929993617E+00    6.5365158120844672E-06    6.5238011290386919E-06    5.2314756883589424E-12    5.1209255277553632E-12    3.8836732963212711E-07    3.8842284558211029E-07    8.7668985144533894E-10    8.8382480292002215E-10    7.5842485703618446E-10    7.5719828704028393E-10    1.5656988887276679E-06    1.5281944824083782E-06    9.7514071450799389E-01    3.9686369458817792E+18    3.9686369458817792E+18    3.9686369458817792E+18    3.9686369458817792E+18
 5.0359487050514085E-01    6.9999999929982675E+00    6.5396129719544831E-06    6.5238142784931761E-06    5.2347563652644721E-12    5.2275738077025195E-12    3.8823406190232577E-07    3.8842455886413412E-07    8.7793157811303269E-10    8.8368374523954678E-10    7.5836137021394216E-10    7.5810335221796966E-10    1.5634731904870051E-06    1.5298305949488905E-06    9.7536793541547562E-01    3.9686371342827489E+18    3.9686371342827489E+18    3.9686371342827489E+18    3.9686371342827489E+18
 5.0359487050525298E-01    6.9999999929955070E+00    6.5444675583345052E-06    6.5243691184376295E-06    5.2399076366076271E-12    5.2857164792651712E-12    3.8804624591249236E-07    3.8851645129788029E-07    8.7957928256397119E-10    8.8338106136556535E-10    7.5826275782734593E-10    7.5855269337000870E-10    1.5624423530984183E-06    1.5319851123909007E-06    9.7546160320108688E-01    3.9686370186053315E+18    3.9686370186053315E+18    3.9686370186053315E+18    3.9686370186053315E+18
 5.0359487050549157E-01    6.9999999929896317E+00    6.5491958942793951E-06    6.5251975977369503E-06    5.2480078357381363E-12    5.2911722151211920E-12    3.8787007520700437E-07    3.8910941979297147E-07    8.8233601234989282E-10    8.8302707142931369E-10    7.5818545132392867E-10    7.5856484600187918E-10    1.5626430181799836E-06    1.5345456684519975E-06    9.7531136185323819E-01    3.9686364397777976E+18    3.9686364397777976E+18    3.9686364397777976E+18    3.9686364397777976E+18
 5.0359487050677842E-01    6.9999999929579468E+00    6.5482068177693142E-06    6.5286623689218994E-06    5.2657434346540888E-12    5.2774148952569050E-12    3.8884042113400408E-07    3.9247289128016184E-07    8.8972474044913459E-10    8.8502368383530146E-10    7.5824635938175049E-10    7.5913333343156838E-10    1.5651863527630029E-06    1.5396924865228484E-06    9.7485892077579672E-01    3.9686300086074199E+18    3.9686300086074199E+18    3.9686300086074199E+18    3.9686300086074199E+18
 5.0359487064136599E-01    6.9999999896441487E+00    6.5587446837212663E-06    6.5381737997351897E-06    5.2495322009763480E-12    5.2496540962081107E-12    3.9037466067524528E-07    3.9056630662868609E-07    8.8803872491948045E-10    8.8806534834121210E-10    7.5876797902518332E-10    7.5957098594102314E-10    1.5543737122995179E-06    1.5423588838016302E-06    9.7488927360346533E-01    3.9682263947972367E+18    3.9682263947972367E+18    3.9682263947972367E+18    3.9682263947972367E+18
 5.0359496570051898E-01    6.9999976491096474E+00    6.5966485683166612E-06    6.5852909059739412E-06    5.1565202435027872E-12    5.1565201498029412E-12    3.9076659051822695E-07    3.9126296118869768E-07    8.8750626582679264E-10    8.8750848178283398E-10    7.6493134087494692E-10    7.6493092995365821E-10    1.5499842558722162E-06    1.5489643485809625E-06    9.7062347281097938E-01    3.9524317232652390E+18    3.9524317232652390E+18    3.9524317232652390E+18    3.9524317232652390E+18
 5.0369230627321127E-01    6.9976013524339242E+00    6.6511312413008736E-06    6.6397112121453548E-06    5.1408430409602196E-12    5.1408429510656459E-12    3.9608685734148157E-07    3.9658713460444590E-07    8.9807317606158164E-10    8.9807538887565527E-10    7.7103576914503784E-10    7.7103536708615270E-10    1.5677265991662169E-06    1.5666643026396842E-06    9.7133277223402859E-01    3.9499551585612483E+18    3.9499551585612483E+18    3.9499551585612483E+18    3.9499551585612483E+18
 5.0534537043330241E-01    6.9570318150338641E+00    6.9287894757620490E-06    6.9169025702752370E-06    4.6465058720588372E-12    4.6465058198056715E-12    4.2919857859670086E-07    4.2970821250371909E-07    9.7533934298051850E-10    9.7534145986462854E-10    7.9769576726684277E-10    7.9769521026003437E-10    1.8013506647684675E-06    1.7997851449636628E-06    9.2330353200225534E-01    3.6470279128489810E+18    3.6470279128489810E+18    3.6470279128489810E+18    3.6470279128489810E+18
 5.0872593025883994E-01    6.8747968985324386E+00    7.7159519999570697E-06    7.7027855320864132E-06    3.8383020176749670E-12    3.8383019952916090E-12    5.1534604834029552E-07    5.1587269803941802E-07    1.1823493181544168E-09    1.1823512675829890E-09    8.7674534155970531E-10    8.7674461653894585E-10    2.4682806195868658E-06    2.4647908656866484E-06    8.2705747826110920E-01    3.0835486179258409E+18    3.0835486179258409E+18    3.0835486179258409E+18    3.0835486179258409E+18
 5.1200000000000001E-01    6.7960791585407838E+00    8.9294413377960042E-06    8.9144730134809701E-06    3.2571562460527944E-12    3.2571562320392966E-12    6.4186002000879355E-07    6.4238917912689296E-07    1.4864727639763160E-09    1.4864741505530931E-09    1.0019376971518425E-09    1.0019368808437651E-09    3.4968992612855031E-06    3.4889757264529888E-06    7.4432023582229190E-01    2.6331794359125504E+18    2.6331794359125504E+18    2.6331794359125504E+18    2.6331794359125504E+18
 5.1537651410275465E-01    6.7158423361448731E+00    1.0828959949768391E-05    1.0811414878279684E-05    2.7959478680519438E-12    2.7959478632319882E-12    8.4119026373187123E-07    8.4165412148629669E-07    1.9616847893858699E-09    1.9616846235737446E-09    1.1977414626895909E-09    1.1977402169939055E-09    5.2249219349132573E-06    5.2057270382687763E-06    6.6916314250526487E-01    2.2519012711892104E+18    2.2519012711892104E+18    2.2519012711892104E+18    2.2519012711892104E+18
 5.1875636037129635E-01    6.6364750330620650E+00    1.3708331355809803E-05    1.3687248067600844E-05    2.4341811879982179E-12    2.4341811870676930E-12    1.1540920354931291E-06    1.1542858785174557E-06    2.6962488751960337E-09    2.6962446517485552E-09    1.4906334900462190E-09    1.4906316760803806E-09    8.1481946419477355E-06    8.1001168085769325E-06    6.0305546771509444E-01    1.9396185320776051E+18    1.9396185320776051E+18    1.9396185320776051E+18    1.9396185320776051E+18
 5.2200000000000002E-01    6.5611883646768758E+00    1.7877036452328838E-05    1.7851327047148626E-05    2.1602362688590159E-12    2.1602362699870245E-12    1.6306020764673807E-06    1.6300502976491723E-06    3.7923303895969246E-09    3.7923171221491426E-09    1.9058136699334149E-09    1.9058109445398651E-09    1.2983713087949911E-05    1.2865422110564568E-05    5.4703124167163764E-01    1.6925483152174615E+18    1.6925483152174615E+18    1.6925483152174615E+18    1.6925483152174615E+18
 5.2535641281635859E-01    6.4841831875526648E+00    2.4442081537671039E-05    2.4409763504185252E-05    1.9415468613337454E-12    1.9415468630298013E-12    2.4292150281357424E-06    2.4267334514726417E-06    5.5835155910419309E-09    5.5834822625201546E-09    2.5413986736916814E-09    2.5413944573925622E-09    2.1861663112637408E-05    2.1559747767419038E-05    4.9611660210491271E-01    1.4815219731642145E+18    1.4815219731642145E+18    1.4815219731642145E+18    1.4815219731642145E+18
 5.2866391773249399E-01    6.4091842512015802E+00    3.4424036514423065E-05    3.4382471833076242E-05    1.7842889139214152E-12    1.7842889155037435E-12    3.7348156726118093E-06    3.7279469644645163E-06    8.4234999094301362E-09    8.4234261788922704E-09    3.4741879797629247E-09    3.4741815506051663E-09    3.7833094398389525E-05    3.7078878810285753E-05    4.5301802669489072E-01    1.3117393594316137E+18    1.3117393594316137E+18    1.3117393594316137E+18    1.3117393594316137E+18
 5.3033960658353840E-01    6.3715190734515499E+00    4.1429907298168371E-05    4.1382154892180304E-05    1.7249241038937005E-12    1.7249241052795356E-12    4.7058084467811883E-06    4.6950051359172558E-06    1.0482087656673387E-08    1.0481980510533999E-08    4.1098577015454540E-09    4.1098498227392928E-09    5.0538789722411024E-05    4.9346552756402300E-05    4.3390738082459507E-01    1.2387128164774804E+18    1.2387128164774804E+18    1.2387128164774804E+18    1.2387128164774804E+18
 5.3230681872965957E-01    6.3275835664478857E+00    5.1982033995584645E-05    5.1925222462287241E-05    1.6712139673749875E-12    1.6712139689029500E-12    6.2407783514639593E-06    6.2229394483870654E-06    1.3663326518309523E-08    1.3663163526982634E-08    5.0440647556353246E-09    5.0440546350445642E-09    7.1634057680289824E-05    6.9605177874639329E-05    4.1379882463478729E-01    1.1632251208898790E+18    1.1632251208898790E+18    1.1632251208898790E+18    1.1632251208898790E+18
 5.3451584356992465E-01    6.2786084500175310E+00    6.7839024867876935E-05    6.7768907934592776E-05    1.6300409713219145E-12    1.6300409723364402E-12    8.6886766870555232E-06    8.6581579098305455E-06    1.8590547081738536E-08    1.8590290270709198E-08    6.4063975440782841E-09    6.4063847042945652E-09    1.0707189257912299E-04    1.0341608336202644E-04    3.9409308904068974E-01    1.0905845215192061E+18    1.0905845215192061E+18    1.0905845215192061E+18    1.0905845215192061E+18
 5.3690043194035619E-01    6.2261663715798301E+00    9.1595308301695418E-05    9.1505499288914940E-05    1.6065555106495255E-12    1.6065555114253971E-12    1.2623916751189196E-05    1.2570521273378507E-05    2.6227903236434504E-08    2.6227491605180472E-08    8.3770873389835342E-09    8.3770706845521644E-09    1.6700269314518646E-04    1.6016764007299042E-04    3.7594693903916965E-01    1.0250710381247026E+18    1.0250710381247026E+18    1.0250710381247026E+18    1.0250710381247026E+18
 5.3917871136713014E-01    6.1764714658343598E+00    1.2347516459404440E-04    1.2335876802184402E-04    1.6027301516313192E-12    1.6027301525457086E-12    1.8326859908818068E-05    1.8236783112029911E-05    3.6843323690229607E-08    3.6842685674233061E-08    1.0925601320521122E-08    1.0925579669782697E-08    2.5765879179101596E-04    2.4534430228413890E-04    3.6128957140080636E-01    9.7349429806171840E+17    9.7349429806171840E+17    9.7349429806171840E+17    9.7349429806171840E+17
