#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 5.0359487050511176E-01    6.9999999929989825E+00    8.9506721715190716E-06    8.9328534271256372E-06    9.3424282779063496E-12    9.1986298341847464E-12    4.4894067755778746E-07    4.4919842004699356E-07    1.1218764184924781E-09    1.1283416347658810E-09    1.0890032191217531E-09    1.0885184622687184E-09    1.8546784187888198E-06    1.8279783632462065E-06    1.2122436812483401E+00    5.0836236568631931E+18    5.0836236568631931E+18    5.0836236568631931E+18    5.0836236568631931E+18
 5.0359487050519414E-01    6.9999999929969539E+00    8.9557094687832960E-06    8.9329801747551902E-06    9.3520543633548411E-12    9.3756041726459528E-12    4.4881461927517960E-07    4.4914996778234780E-07    1.1230430859620223E-09    1.1281977879907427E-09    1.0888517482948943E-09    1.0895543812750951E-09    1.8533018940392788E-06    1.8299461613870272E-06    1.2124086108903231E+00    5.0836235386686884E+18    5.0836235386686884E+18    5.0836235386686884E+18    5.0836235386686884E+18
 5.0359487050536655E-01    6.9999999929927093E+00    8.9619910617880875E-06    8.9338555790897034E-06    9.3625628047020921E-12    9.4223643106677989E-12    4.4866388844860635E-07    4.4924743389198184E-07    1.1245177603092937E-09    1.1279076338398937E-09    1.0887230853242198E-09    1.0895899105446986E-09    1.8532765611006287E-06    1.8317935849754196E-06    1.2124144524438025E+00    5.0836229015378483E+18    5.0836229015378483E+18    5.0836229015378483E+18    5.0836229015378483E+18
 5.0359487050595597E-01    6.9999999929781964E+00    8.9688871149185753E-06    8.9359196425875632E-06    9.3826606243140503E-12    9.4184435603279344E-12    4.4858673795412130E-07    4.5070233375057572E-07    1.1298223803709047E-09    1.1277389733493418E-09    1.0886933047607188E-09    1.0898465332495174E-09    1.8538078039263997E-06    1.8346623436700641E-06    1.2122632181736728E+00    5.0836203752514171E+18    5.0836203752514171E+18    5.0836203752514171E+18    5.0836203752514171E+18
 5.0359487052340568E-01    6.9999999925485517E+00    8.9512606166141552E-06    8.9442866273753558E-06    9.3912829960915620E-12    9.3915537649824862E-12    4.5209257536992347E-07    4.5274275942112908E-07    1.1363638866767412E-09    1.1362292083489300E-09    1.0892527695638087E-09    1.0896622142832376E-09    1.8610124808735508E-06    1.8375424532469378E-06    1.2121435679045827E+00    5.0835653222807839E+18    5.0835653222807839E+18    5.0835653222807839E+18    5.0835653222807839E+18
 5.0359487652960522E-01    6.9999998446646403E+00    9.0070209706414665E-06    8.9909046069263336E-06    9.2540779896805040E-12    9.2540856395626206E-12    4.5124565798505992E-07    4.5191289425979172E-07    1.1326408425837521E-09    1.1326448665102903E-09    1.0956977800599308E-09    1.0957567279484823E-09    1.8445182952548352E-06    1.8436531446981916E-06    1.2097706663037189E+00    5.0738913192658852E+18    5.0738913192658852E+18    5.0738913192658852E+18    5.0738913192658852E+18
 5.0360100865337221E-01    6.9998488618911878E+00    9.0137302810352525E-06    8.9982054682080529E-06    9.2513953960477243E-12    9.2513950956421681E-12    4.5175701054155308E-07    4.5243204582872813E-07    1.1337158451056947E-09    1.1337198440268540E-09    1.0965827789434450E-09    1.0965823111863454E-09    1.8459296259003390E-06    1.8452989952587245E-06    1.2099177437806834E+00    5.0740994211302410E+18    5.0740994211302410E+18    5.0740994211302410E+18    5.0740994211302410E+18
 5.0417205875657545E-01    6.9858029504848185E+00    9.0789903129232119E-06    9.0633486335138828E-06    8.8837442261536115E-12    8.8837439677688078E-12    4.6304409759889235E-07    4.6372560771283639E-07    1.1595223367058233E-09    1.1595263341042429E-09    1.1007638376081555E-09    1.1007634244724737E-09    1.9164651484073534E-06    1.9157549373405117E-06    1.1946101480645426E+00    4.9582137483624243E+18    4.9582137483624243E+18    4.9582137483624243E+18    4.9582137483624243E+18
 5.0732818545332981E-01    6.9086796701981781E+00    9.1999574155677800E-06    9.1839117318116386E-06    6.9912295459806394E-12    6.9912294241206072E-12    5.0595770077852215E-07    5.0663754633397787E-07    1.2711288045489106E-09    1.2711326037541122E-09    1.0968922085526956E-09    1.0968916488187255E-09    2.3498446958441848E-06    2.3485481421534692E-06    1.0786689042142703E+00    4.2214639843670236E+18    4.2214639843670236E+18    4.2214639843670236E+18    4.2214639843670236E+18
 5.0900000000000001E-01    6.8681726779504775E+00    9.4535212893183868E-06    9.4369900072523289E-06    6.2523441662872844E-12    6.2523440710622183E-12    5.4092580797953452E-07    5.4161507156245769E-07    1.3641455384112794E-09    1.3641494232145907E-09    1.1188928720361485E-09    1.1188923708775723E-09    2.6774924663632952E-06    2.6756421381700995E-06    1.0208979183645379E+00    3.8767126087025254E+18    3.8767126087025254E+18    3.8767126087025254E+18    3.8767126087025254E+18
 5.1133638875545906E-01    6.8119610516105222E+00    1.0027632632887917E-05    1.0010123710549435E-05    5.4210805184208090E-12    5.4210804672602423E-12    6.0632300479360013E-07    6.0703402242244406E-07    1.5395252828359803E-09    1.5395291148856068E-09    1.1758801282144513E-09    1.1758794444599999E-09    3.2862737349277268E-06    3.2831244556500104E-06    9.4512860272333032E-01    3.4453536670504105E+18    3.4453536670504105E+18    3.4453536670504105E+18    3.4453536670504105E+18
 5.1470604268617781E-01    6.7316991564319544E+00    1.1362103874782452E-05    1.1342535299569064E-05    4.5075551455240181E-12    4.5075551209476953E-12    7.4399383381053945E-07    7.4474155559707163E-07    1.9100664761318969E-09    1.9100701301506355E-09    1.3155411731169558E-09    1.3155403069367690E-09    4.6019725515524232E-06    4.5947661021510197E-06    8.4632373259307336E-01    2.9173179812247598E+18    2.9173179812247598E+18    2.9173179812247598E+18    2.9173179812247598E+18
 5.1800000000000002E-01    6.6541544201510332E+00    1.3411328870574537E-05    1.3388894048721452E-05    3.8315018392042589E-12    3.8315018267118170E-12    9.5055745637898180E-07    9.5131003633861432E-07    2.4635801638225035E-09    2.4635828519669805E-09    1.5326494239365097E-09    1.5326483137877920E-09    6.6807028071360445E-06    6.6635591669356092E-06    7.6123298227598490E-01    2.4940899598536397E+18    2.4940899598536397E+18    2.4940899598536397E+18    2.4940899598536397E+18
 5.2136994741972775E-01    6.5757450924890009E+00    1.6605870906291780E-05    1.6579412036971510E-05    3.2895109780353869E-12    3.2895109737934884E-12    1.2793499524013735E-06    1.2799672766828844E-06    3.3343752053122833E-09    3.3343747256353886E-09    1.8688598875183509E-09    1.8688582117004631E-09    1.0214149783781319E-05    1.0170591279891173E-05    6.8450561252520215E-01    2.1389599853309568E+18    2.1389599853309568E+18    2.1389599853309568E+18    2.1389599853309568E+18
 5.2473438180117393E-01    6.4983857153276166E+00    2.1466104184606272E-05    2.1434149213704020E-05    2.8611606008570010E-12    2.8611606010928310E-12    1.8017159374188980E-06    1.8017853052880192E-06    4.6949664950912357E-09    4.6949573849958516E-09    2.3716964723696154E-09    2.3716938850732679E-09    1.6297820713940175E-05    1.6184087584814628E-05    6.1647845130588153E-01    1.8466281941720207E+18    1.8466281941720207E+18    1.8466281941720207E+18    1.8466281941720207E+18
 5.2800000000000002E-01    6.4241689273720022E+00    2.8637013219841465E-05    2.8597681991621008E-05    2.5363434704389746E-12    2.5363434722339057E-12    2.6164902850113300E-06    2.6150570026932315E-06    6.7753343131949429E-09    6.7753055005189864E-09    3.0953623982113037E-09    3.0953583772482681E-09    2.6704721678752342E-05    2.6413698665743541E-05    5.5774709500326314E-01    1.6109093154935639E+18    1.6109093154935639E+18    1.6109093154935639E+18    1.6109093154935639E+18
 5.3133906849074142E-01    6.3491592066195395E+00    3.9861426312264573E-05    3.9811306442846239E-05    2.2877353007926578E-12    2.2877353026973954E-12    3.9786486201811830E-06    3.9734727010083282E-06    1.0170951519354966E-08    1.0170879411629643E-08    4.1920380293522659E-09    4.1920318391932764E-09    4.5947691594178077E-05    4.5193598073235907E-05    5.0525694334922933E-01    1.4117871651562893E+18    1.4117871651562893E+18    1.4117871651562893E+18    1.4117871651562893E+18
