#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 5.1618474226771938E-01    6.9999999929994674E+00    7.4292259509853512E-06    7.4154673407413428E-06    6.8648721100634527E-12    6.6888462280917971E-12    4.0404525602482412E-07    4.0416621514664690E-07    9.6094434370082497E-10    9.6789267394210287E-10    8.8280684382301162E-10    8.8156651500455856E-10    1.6446630037147745E-06    1.6126088777685481E-06    1.1028816767390630E+00    4.5172236689248876E+18    4.5172236689248876E+18    4.5172236689248876E+18    4.5172236689248876E+18
 5.1618474226777045E-01    6.9999999929982408E+00    7.4326871529633848E-06    7.4153548322157103E-06    6.8708271856346860E-12    6.8500207214847400E-12    4.0392092929849204E-07    4.0414598929914698E-07    9.6218764833699953E-10    9.6777339344284675E-10    8.8271419213185206E-10    8.8269660913729390E-10    1.6425592802048734E-06    1.6143959884076361E-06    1.1031222967356804E+00    4.5172238035954335E+18    4.5172238035954335E+18    4.5172238035954335E+18    4.5172238035954335E+18
 5.1618474226788502E-01    6.9999999929954884E+00    7.4378242441296753E-06    7.4159134149449417E-06    6.8777372503289721E-12    6.9257835087152997E-12    4.0376433774614970E-07    4.0417857564528519E-07    9.6351685812616053E-10    9.6752139466178187E-10    8.8259660288639669E-10    8.8314254266312737E-10    1.6417165682615240E-06    1.6163196293075838E-06    1.1032171598340843E+00    4.5172235329872988E+18    4.5172235329872988E+18    4.5172235329872988E+18    4.5172235329872988E+18
 5.1618474226813049E-01    6.9999999929895909E+00    7.4431564084780734E-06    7.4168365134595354E-06    6.8876142951708744E-12    6.9351879810661332E-12    4.0359877429808862E-07    4.0465955430824376E-07    9.6604618064508314E-10    9.6717903608950699E-10    8.8251508126596898E-10    8.8311128218883672E-10    1.6418579736663610E-06    1.6184840836501641E-06    1.1031180886843506E+00    4.5172227048865782E+18    4.5172227048865782E+18    4.5172227048865782E+18    4.5172227048865782E+18
 5.1618474226947642E-01    6.9999999929572612E+00    7.4417899571393424E-06    7.4205712670360775E-06    6.9082705150836549E-12    6.9207722575699905E-12    4.0434973243051225E-07    4.0757743540181100E-07    9.7349082976504771E-10    9.6881165424068761E-10    8.8259979252755358E-10    8.8371267643148740E-10    1.6438030091098274E-06    1.6225648594147770E-06    1.1027933756652089E+00    4.5172152900066596E+18    4.5172152900066596E+18    4.5172152900066596E+18    4.5172152900066596E+18
 5.1618474243156987E-01    6.9999999890635589E+00    7.4562772921625214E-06    7.4296670758079283E-06    6.8843460089876925E-12    6.8845466966132890E-12    4.0573499705629078E-07    4.0598143515923161E-07    9.7199805771238796E-10    9.7201698052945816E-10    8.8316085278877899E-10    8.8439529541877021E-10    1.6353911628377289E-06    1.6250244089537165E-06    1.1027390429896464E+00    4.5164604651755484E+18    4.5164604651755484E+18    4.5164604651755484E+18    4.5164604651755484E+18
 5.1618487258806756E-01    6.9999968625301676E+00    7.4868831216708259E-06    7.4739724611242672E-06    6.7844645998297165E-12    6.7844644303907216E-12    4.0629168766783619E-07    4.0685749598463059E-07    9.7173540754588150E-10    9.7173837197804814E-10    8.8925513588065466E-10    8.8925471936094904E-10    1.6313521399558408E-06    1.6306154034252158E-06    1.0994505750775316E+00    4.5041056956625889E+18    4.5041056956625889E+18    4.5041056956625889E+18    4.5041056956625889E+18
 5.1631815284170823E-01    6.9967960250882717E+00    7.5503626198370581E-06    7.5373720459858610E-06    6.7515794416544947E-12    6.7515792805762230E-12    4.1228087536084581E-07    4.1285244070716462E-07    9.8437754949370375E-10    9.8438052373298081E-10    8.9632796627696325E-10    8.9632757497772340E-10    1.6534305407899422E-06    1.6526606031365396E-06    1.0994460554487975E+00    4.4950939850571407E+18    4.4950939850571407E+18    4.4950939850571407E+18    4.4950939850571407E+18
 5.1934928966189065E-01    6.9243945718959674E+00    7.9001284564033671E-06    7.8864533571725685E-06    5.5350461624537107E-12    5.5350460871234790E-12    4.6272430307150472E-07    4.6330822938328603E-07    1.1095333266157507E-09    1.1095361885901900E-09    9.2506778087765748E-10    9.2506721996144709E-10    2.0681968286001193E-06    2.0667401870994851E-06    1.0001950259058883E+00    3.8766003547868170E+18    3.8766003547868170E+18    3.8766003547868170E+18    3.8766003547868170E+18
 5.2272292863277625E-01    6.8446927611918529E+00    8.6524439518223693E-06    8.6374971257208974E-06    4.5578309354890798E-12    4.5578309002320838E-12    5.4666507268549987E-07    5.4727344772065623E-07    1.3230719691261378E-09    1.3230747831813125E-09    1.0000751116957741E-09    1.0000744166360369E-09    2.7781737029660221E-06    2.7750445214149561E-06    8.9745240851512298E-01    3.2859313079655250E+18    3.2859313079655250E+18    3.2859313079655250E+18    3.2859313079655250E+18
 5.2600000000000002E-01    6.7681508228318776E+00    9.8487370745372398E-06    9.8319596422753950E-06    3.8564705569247586E-12    3.8564705355353002E-12    6.6977329255203278E-07    6.7040422031110020E-07    1.6375432063849843E-09    1.6375457112338709E-09    1.1246907751269067E-09    1.1246900034776645E-09    3.8617862989496214E-06    3.8548581727924675E-06    8.0857386000354636E-01    2.8101078281434803E+18    2.8101078281434803E+18    2.8101078281434803E+18    2.8101078281434803E+18
 5.2937728179725085E-01    6.6901637905559230E+00    1.1725888066150838E-05    1.1706489017045336E-05    3.3009926884398428E-12    3.3009926798215808E-12    8.6135279195968100E-07    8.6196654971566275E-07    2.1245379297253403E-09    2.1245393432172877E-09    1.3213283443020821E-09    1.3213271989201610E-09    5.6489234638103737E-06    5.6324843127853288E-06    7.2778897864085645E-01    2.4060901436015529E+18    2.4060901436015529E+18    2.4060901436015529E+18    2.4060901436015529E+18
