# 1:Z 2:Y(Z)
    1     1.11469739483061E-09
    2     3.31483225462904E-05
    3     9.74151789064277E-12
    4     1.17034449141173E-13
    5     5.43628159180388E-12
    6     1.24334647909707E-08
    7     1.63848741010777E-06
    8     1.33235895496409E-06
    9     1.66506437986466E-06
   10     1.45855053854109E-06
   11     9.05896173488960E-08
   12     3.60557793051346E-07
   13     3.10575363533851E-08
   14     2.16906082899937E-07
   15     1.37160613493978E-08
   16     4.55025641778694E-07
   17     1.17480972486727E-07
   18     1.26485842321257E-07
   19     8.87551486789737E-08
   20     1.22123243816730E-06
   21     3.35353725768891E-07
   22     3.01076260294165E-07
   23     4.62416087030654E-08
   24     2.20999749705065E-07
   25     1.23296286255482E-09
   26     3.26649123142181E-08
   27     1.38774607799323E-08
   28     1.44064062648672E-07
   29     5.66837458857591E-08
   30     7.60169464133481E-08
   31     5.23440156891233E-08
   32     1.35114540974912E-06
   33     1.68073879512518E-07
   34     1.03911629885540E-04
   35     1.41816468473307E-04
   36     7.89546344212952E-05
   37     1.87794739223022E-05
   38     1.46276002763831E-05
   39     6.34901608168935E-06
   40     5.36232918099831E-05
   41     6.69918798755589E-06
   42     3.93215183330989E-05
   43     0.00000000000000E+00
   44     2.79774855386016E-05
   45     1.36988828263242E-05
   46     6.90878616668886E-05
   47     4.35458606026867E-05
   48     6.63270724457941E-05
   49     2.04270618057542E-06
   50     1.58167720807819E-05
   51     7.63570962564168E-06
   52     2.24485591736200E-03
   53     5.89212328773715E-04
   54     3.74071017872264E-03
   55     5.68686403670359E-05
   56     1.28727540997839E-04
   57     1.84893584614605E-06
   58     5.11344200132314E-06
   59     1.16192423733132E-06
   60     2.84251935799039E-05
   61     0.00000000000000E+00
   62     2.69819998340277E-05
   63     1.33335740453898E-05
   64     5.81426665652882E-05
   65     1.27442370141314E-05
   66     7.58623000251450E-05
   67     1.08079378961508E-05
   68     3.41271782340071E-05
   69     3.96028777303941E-06
   70     1.53833591052909E-05
   71     1.98411358793694E-06
   72     3.37244227633038E-06
   73     4.72028540816919E-07
   74     8.09759118005573E-06
   75     1.41339418664049E-06
   76     1.34369895987496E-05
   77     8.03220802989902E-06
   78     2.47030958231239E-05
   79     2.84490298342513E-06
   80     1.00144649445369E-07
   81     4.24231206037456E-11
   82     3.28074646232076E-09
   83     5.42515175441455E-10
   84     0.00000000000000E+00
   85     0.00000000000000E+00
   86     0.00000000000000E+00
   87     0.00000000000000E+00
   88     1.15154369720240E-18
   89     1.60625638079843E-19
   90     4.01774169864393E-11
   91     2.40812464138645E-16
   92     8.35938375867358E-12
   93     0.00000000000000E+00
   94     4.80399432477869E-17
   95     0.00000000000000E+00
   96     0.00000000000000E+00
   97     0.00000000000000E+00
   98     0.00000000000000E+00
   99     0.00000000000000E+00
  100     0.00000000000000E+00
  101     0.00000000000000E+00
  102     0.00000000000000E+00
  103     0.00000000000000E+00
  104     0.00000000000000E+00
  105     0.00000000000000E+00
  106     0.00000000000000E+00
  107     0.00000000000000E+00
  108     0.00000000000000E+00
  109     0.00000000000000E+00
  110     0.00000000000000E+00
  111     0.00000000000000E+00
