#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 4.9100499874245107E-01    6.9999999929998138E+00    6.5549337705828392E-06    6.6280786643968881E-06    5.3221101199480276E-13    5.4122034182292180E-13    9.5245462670702182E-07    9.5012370460703932E-07    9.9959183308072660E-10    1.0381884838058468E-09    5.8428171486688778E-10    5.7103449632262303E-10    2.9791577196011450E-06    2.7168759440005956E-06    3.4785910801475278E-01    1.2472180591471729E+18    1.2472180591471729E+18    1.2472180591471729E+18    1.2472180591471729E+18
 4.9100499874248127E-01    6.9999999929990508E+00    6.5674684651209661E-06    6.6270475892103098E-06    5.3254429567791862E-13    5.5264279881172532E-13    9.5019862155116889E-07    9.5089955519388918E-07    1.0067184936750194E-09    1.0362841172373351E-09    5.8429425171668036E-10    5.7336805007659347E-10    2.9589901982953741E-06    2.7235353320076907E-06    3.4866183951626351E-01    1.2472193935920891E+18    1.2472193935920891E+18    1.2472193935920891E+18    1.2472193935920891E+18
 4.9100499874251391E-01    6.9999999929982266E+00    6.5759318778135628E-06    6.6271832899359906E-06    5.3350996200061706E-13    5.5727437908541991E-13    9.4858946833381942E-07    9.5156060907510002E-07    1.0108500447640655E-09    1.0346452295690527E-09    5.8426820646819167E-10    5.7456709841588762E-10    2.9552092242770807E-06    2.7300256575397767E-06    3.4900416554749947E-01    1.2472206291728166E+18    1.2472206291728166E+18    1.2472206291728166E+18    1.2472206291728166E+18
 4.9100499874254910E-01    6.9999999929973376E+00    6.5823547108157301E-06    6.6279366636612068E-06    5.3467128167730262E-13    5.5888081249355906E-13    9.4728866034174314E-07    9.5241330324361997E-07    1.0136912516740825E-09    1.0331855339949287E-09    5.8422545477786776E-10    5.7526858593255238E-10    2.9571697399712265E-06    2.7367207708548512E-06    3.4903332968631440E-01    1.2472218382042309E+18    1.2472218382042309E+18    1.2472218382042309E+18    1.2472218382042309E+18
 4.9100499874267184E-01    6.9999999929942387E+00    6.5976115438704248E-06    6.6318691375552091E-06    5.3813638405431545E-13    5.5851212578874249E-13    9.4454394579060041E-07    9.5762386643075026E-07    1.0208868069701963E-09    1.0298544354873408E-09    5.8406882480257708E-10    5.7660691539467749E-10    2.9711998989143868E-06    2.7588330438678652E-06    3.4819942771060541E-01    1.2472255127252439E+18    1.2472255127252439E+18    1.2472255127252439E+18    1.2472255127252439E+18
 4.9100499874288273E-01    6.9999999929889132E+00    6.6162833648094398E-06    6.6386720848241940E-06    5.4220537263009950E-13    5.5632099942844361E-13    9.4440562197389844E-07    9.7380876254332856E-07    1.0348791855526506E-09    1.0291033142979173E-09    5.8387689674679367E-10    5.7854439075037685E-10    2.9986703616899377E-06    2.7923400563403272E-06    3.4656543715072541E-01    1.2472303970628357E+18    1.2472303970628357E+18    1.2472303970628357E+18    1.2472303970628357E+18
 4.9100499874334563E-01    6.9999999929772239E+00    6.6407295578058606E-06    6.6495424465866809E-06    5.4704309494844277E-13    5.5356661867120539E-13    9.5828837191531318E-07    1.0181654750799441E-06    1.0681800383009478E-09    1.0431255853267134E-09    5.8371440670526687E-10    5.8196584827849976E-10    3.0737110946924983E-06    2.8430403865420006E-06    3.4438862154202632E-01    1.2472358431810939E+18    1.2472358431810939E+18    1.2472358431810939E+18    1.2472358431810939E+18
 4.9100499874647147E-01    6.9999999928982861E+00    6.6639995824078028E-06    6.6650798124604708E-06    5.5124754440541603E-13    5.5138095340904694E-13    1.0303802730705054E-06    1.0928554567761441E-06    1.1239737181236016E-09    1.1196904459254628E-09    5.8381210528403722E-10    5.8584669841581717E-10    3.3222697972663842E-06    2.8966919394439700E-06    3.4250341776574589E-01    1.2472194674059141E+18    1.2472194674059141E+18    1.2472194674059141E+18    1.2472194674059141E+18
 4.9100499937373832E-01    6.9999999770577848E+00    6.6974016550170535E-06    6.7183409965607373E-06    5.5160245123507203E-13    5.5159861193577598E-13    9.8180471517735358E-07    9.7970319764788996E-07    1.0484786575244944E-09    1.0484754099016252E-09    5.8738752518467356E-10    5.8640294873510857E-10    2.9029423120584329E-06    2.8540115744483027E-06    3.4234013619234616E-01    1.2499589934677722E+18    1.2499589934677722E+18    1.2499589934677722E+18    1.2499589934677722E+18
 4.9100525867611644E-01    6.9999934288438483E+00    6.9251994805977046E-06    6.9205726206351634E-06    5.3901244175454536E-13    5.3901244317180897E-13    1.0078255980592519E-06    1.0028496526512329E-06    1.0667248738752074E-09    1.0667073692054242E-09    6.0692412199684518E-10    6.0692028378866124E-10    3.0039367930530328E-06    2.9142629205085941E-06    3.3258520626591614E-01    1.2383783030032445E+18    1.2383783030032445E+18    1.2383783030032445E+18    1.2383783030032445E+18
