# 1:iteration 2:time[s], 3:T[GK], 4:rho[g/cm3], 5:Ye 
# 6:R[km], 7:Y_n, 8:Y_p, 9:Y_alpha, 10:Y_lights 
# 11:Y_heavies 12:<Z> 13:<A> 14:entropy [kB/baryon] (15:Sn [MeV])
       0  4.6000000000000002E-01   7.8284444056646905E+00   3.3178514769293681E+07   1.7850770000000155E-01   5.3024870000000021E+02   6.0917745780845778E-01   2.0408982015235268E-04   4.6001939440894715E-02   1.7635080149920371E-06   3.9339269731623041E-03   2.7074549941523463E-01   1.5167160823607819E+00   1.2925697651867496E+01
      10  4.6000000204600006E-01   7.8284443478817511E+00   3.3178514355371479E+07   1.7850770142137698E-01   5.3024876058914128E+02   6.0917744976513089E-01   2.0408977972761067E-04   4.6001934051147830E-02   1.7635077188631911E-06   3.9339275259670887E-03   2.7074550687698590E-01   1.5167161120845882E+00   1.2925697542600421E+01
      20  4.6000209715000001E-01   7.8283851783765046E+00   3.3178090501748700E+07   1.7850915630357031E-01   5.3031080750176056E+02   6.0916921488498377E-01   2.0404838792416715E-04   4.5996415073889879E-02   1.7632045065225701E-06   3.9344935584720228E-03   2.7075314629747416E-01   1.5167465462522971E+00   1.2925585597977088E+01
      30  4.6192625817999994E-01   7.7742317886173415E+00   3.2791096954230241E+07   1.7966590771485924E-01   5.8933315711706643E+02   6.0212098367424505E-01   1.6893703781787660E-04   4.1093299680071714E-02   1.5041318775392426E-06   4.4301539182556712E-03   2.7734143455748217E-01   1.5436508689096358E+00   1.2822359888855013E+01
      40  4.6899999999999997E-01   7.5783493210760078E+00   3.1406801324481346E+07   1.8257271784160364E-01   8.1341590000000019E+02   5.8129672118400966E-01   8.1670514517036516E-05   2.6283922258877178E-02   8.2768992946769456E-07   5.8726923098065872E-03   2.9757466106593849E-01   1.6298966493126663E+00   1.2313200687969095E+01
      50  4.7899999999999998E-01   7.3098254564775793E+00   2.9548969270878416E+07   1.8494281642513330E-01   1.1302080000000003E+03   5.6066387038411303E-01   2.7210894437503858E-05   1.3060771116961356E-02   3.4710401097553268E-07   7.0031843776212797E-03   3.1845217721521329E-01   1.7218953586343988E+00   1.1756153800762585E+01
      60  4.8899999999999999E-01   7.0508162055244075E+00   2.7801035067226548E+07   1.8662138349790178E-01   1.4284339999999997E+03   5.4530696304950732E-01   8.4444579327400955E-06   6.0702985827801445E-03   1.4244963545494212E-07   7.3154636344403088E-03   3.3402710792217072E-01   1.7898651358246134E+00   1.1320845857111065E+01
      70  4.9100499874245107E-01   6.9999999929998138E+00   2.7460346377860669E+07   1.8689170574559172E-01   1.4853828310934261E+03   5.4267445156395311E-01   6.6292887406712080E-06   5.1662660432870121E-03   1.1890419836696527E-07   7.3059145481847226E-03   3.3664877556598072E-01   1.8013039916508822E+00   1.1226233694281218E+01
      80  4.9100499874248127E-01   6.9999999929990508E+00   2.7460346377826035E+07   1.8689170574559552E-01   1.4853828310942706E+03   5.4265367404627096E-01   6.6412631842754946E-06   5.1662793877377570E-03   1.1898296033746947E-07   7.3059145481831388E-03   3.3666136026276550E-01   1.8013713284902941E+00   1.1226018747667645E+01
      90  4.9100499874251391E-01   6.9999999929982266E+00   2.7460346377788574E+07   1.8689170574559991E-01   1.4853828310951835E+03   5.4262268046806084E-01   6.6514042462710589E-06   5.1662917435468230E-03   1.1905675881934983E-07   7.3059145481813616E-03   3.3668014374394722E-01   1.8014718331172899E+00   1.1225697952072753E+01
     100  4.9100499874254910E-01   6.9999999929973376E+00   2.7460346377748087E+07   1.8689170574560451E-01   1.4853828310961690E+03   5.4258708125549371E-01   6.6602927120396126E-06   5.1663038338626904E-03   1.1912066632986661E-07   7.3059145481796260E-03   3.3670172399142673E-01   1.8015873023800091E+00   1.1225329430427717E+01
     110  4.9100499874267184E-01   6.9999999929942387E+00   2.7460346377607211E+07   1.8689170574562039E-01   1.4853828310996018E+03   5.4247335342205183E-01   6.6797820271486713E-06   5.1663405790772594E-03   1.1925960243693023E-07   7.3059145481751712E-03   3.3677069094433409E-01   1.8019563233197222E+00   1.1224151973467233E+01
     120  4.9100499874288273E-01   6.9999999929889132E+00   2.7460346377364971E+07   1.8689170574564795E-01   1.4853828311055017E+03   5.4232716103504985E-01   6.6813416608803593E-06   5.1663894224584072E-03   1.1927889337305332E-07   7.3059145481699575E-03   3.3685939998297554E-01   1.8024309780842960E+00   1.1222638087101169E+01
     130  4.9100499874334563E-01   6.9999999929772239E+00   2.7460346376833472E+07   1.8689170574570832E-01   1.4853828311184518E+03   5.4214734103548334E-01   6.5867253443420772E-06   5.1664438836498509E-03   1.1863029699021199E-07   7.3059145481610783E-03   3.3696864072920102E-01   1.8030154916970342E+00   1.1220774773728328E+01
     140  4.9100499874647147E-01   6.9999999928982861E+00   2.7460346373244189E+07   1.8689170574611691E-01   1.4853828312058952E+03   5.4199245853643108E-01   6.1315940948050530E-06   5.1662801259204534E-03   1.1483980005101277E-07   7.3059145481387221E-03   3.3706314590356617E-01   1.8035211597963807E+00   1.1219163660491336E+01
     150  4.9100499937373832E-01   6.9999999770577848E+00   2.7460345652941130E+07   1.8689170582818190E-01   1.4853828487534158E+03   5.4210947879693638E-01   6.5630176789543432E-06   5.1936753762886357E-03   1.1762546515764778E-07   7.3059145583891033E-03   3.3697511482296127E-01   1.8030501317845837E+00   1.1220664470293801E+01
     160  4.9100525867611644E-01   6.9999934288438483E+00   2.7460042437391255E+07   1.8689173994988351E-01   1.4853901026439996E+03   5.4199569784411150E-01   6.4383169423363785E-06   5.0778842946214778E-03   1.1538339079555941E-07   7.3058987354109638E-03   3.3711480501729080E-01   1.8037972417238910E+00   1.1218321950187983E+01
     170  4.9114033709983140E-01   6.9965830994564469E+00   2.5997647163373146E+07   1.8690947409739861E-01   1.4891736927144784E+03   5.4314056468160343E-01   7.2447755672660518E-06   5.5933132900574632E-03   1.2001531068868511E-07   7.3003245081361082E-03   3.3614298840074475E-01   1.7984266938248086E+00   1.1481013303099267E+01
     180  4.9128064344042116E-01   6.9930425398493794E+00   2.2618798771976333E+07   1.8692786688159507E-01   1.4931139230441579E+03   5.4658845822302682E-01   9.9824529233769417E-06   7.1868332529330557E-03   1.3471495148745466E-07   7.3027370236719734E-03   3.3315240809305180E-01   1.7822511590318042E+00   1.2226454236299722E+01
